date,open,high,low,close,volume,mcap
7/14/2010,0.06,0.06,0.05,0.06,261.54,190259.65
7/15/2010,0.06,0.07,0.05,0.06,445.80,195982.14
7/16/2010,0.06,0.07,0.06,0.07,497.25,228047.42
7/17/2010,0.07,0.08,0.06,0.07,19.99,226904.80
7/18/2010,0.07,0.08,0.06,0.08,75.13,271669.20
7/19/2010,0.08,0.08,0.07,0.07,573.24,256302.41
7/20/2010,0.07,0.08,0.06,0.07,262.35,249313.13
7/21/2010,0.07,0.08,0.06,0.07,572.81,258512.82
7/22/2010,0.07,0.08,0.05,0.06,2167.06,205112.55
7/23/2010,0.06,0.07,0.06,0.06,2398.46,218826.51
7/24/2010,0.06,0.08,0.06,0.07,496.83,244352.06
7/25/2010,0.07,0.08,0.06,0.07,1555.03,242332.21
7/26/2010,0.07,0.08,0.06,0.06,876.44,221157.41
7/27/2010,0.06,0.08,0.06,0.07,3370.90,240347.17
7/28/2010,0.07,0.07,0.06,0.07,4386.99,240439.02
7/29/2010,0.07,0.07,0.05,0.06,8091.70,226457.71
7/30/2010,0.06,0.07,0.05,0.06,3013.58,226729.45
7/31/2010,0.06,0.07,0.06,0.07,4033.25,249124.55
8/1/2010,0.07,0.07,0.05,0.06,2595.17,216655.53
8/2/2010,0.06,0.06,0.05,0.06,3595.64,215716.50
8/3/2010,0.06,0.06,0.05,0.06,9856.36,216397.50
8/4/2010,0.06,0.06,0.05,0.06,3503.64,215975.01
8/5/2010,0.06,0.06,0.05,0.06,5016.59,220545.88
8/6/2010,0.06,0.07,0.06,0.06,1397.31,224830.82
8/7/2010,0.06,0.07,0.05,0.06,2625.28,217398.49
8/8/2010,0.06,0.07,0.06,0.06,2201.06,222388.20
8/9/2010,0.06,0.07,0.06,0.07,13620.25,242337.97
8/10/2010,0.07,0.07,0.06,0.07,1304.75,241390.50
8/11/2010,0.07,0.07,0.06,0.06,14095.69,233527.29
8/12/2010,0.06,0.06,0.05,0.06,2055.26,226013.55
8/13/2010,0.06,0.07,0.06,0.06,3601.97,233767.63
8/14/2010,0.06,0.07,0.05,0.06,4404.59,234424.72
8/15/2010,0.06,0.09,0.06,0.08,4462.17,288245.57
8/16/2010,0.08,0.11,0.08,0.10,10678.23,355444.75
8/17/2010,0.09,0.09,0.05,0.06,13207.49,229060.85
8/18/2010,0.06,0.08,0.06,0.07,2957.23,255298.94
8/19/2010,0.07,0.08,0.06,0.07,737.31,262947.51
8/20/2010,0.07,0.07,0.06,0.07,4171.63,248006.31
8/21/2010,0.07,0.07,0.06,0.07,10441.99,258335.14
8/22/2010,0.07,0.07,0.06,0.07,18735.84,256825.52
8/23/2010,0.07,0.08,0.07,0.07,4305.16,253754.79
8/24/2010,0.07,0.07,0.06,0.07,6698.65,251804.30
8/25/2010,0.07,0.07,0.06,0.07,4244.57,259758.76
8/26/2010,0.07,0.08,0.06,0.07,3870.70,266082.45
8/27/2010,0.07,0.07,0.06,0.07,8983.94,255192.98
8/28/2010,0.07,0.07,0.06,0.07,6132.59,256813.69
8/29/2010,0.07,0.07,0.05,0.06,3161.99,232664.99
8/30/2010,0.06,0.08,0.06,0.07,34120.32,255868.75
8/31/2010,0.07,0.07,0.06,0.07,14874.00,263444.80
9/1/2010,0.07,0.08,0.06,0.06,7184.24,243454.48
9/2/2010,0.06,0.07,0.05,0.06,8145.96,243393.16
9/3/2010,0.06,0.06,0.05,0.06,893.97,234657.09
9/4/2010,0.06,0.06,0.05,0.06,3298.27,234329.17
9/5/2010,0.06,0.07,0.05,0.06,8470.29,236368.65
9/6/2010,0.06,0.07,0.05,0.06,911.23,238377.05
9/7/2010,0.06,0.07,0.05,0.06,3455.80,237128.76
9/8/2010,0.06,0.06,0.05,0.06,2340.15,236659.38
9/9/2010,0.06,0.06,0.05,0.06,1736.18,238723.78
9/10/2010,0.06,0.06,0.05,0.06,4936.59,237951.54
9/11/2010,0.06,0.06,0.05,0.06,7687.50,251165.98
9/12/2010,0.06,0.06,0.05,0.06,795.76,238628.82
9/13/2010,0.06,0.07,0.06,0.06,10050.56,243147.48
9/14/2010,0.06,0.07,0.06,0.06,14066.33,242175.26
9/15/2010,0.06,0.09,0.06,0.08,3660.94,320437.68
9/16/2010,0.08,0.11,0.08,0.09,728.74,364395.76
9/17/2010,0.09,0.09,0.05,0.06,7282.76,237653.93
9/18/2010,0.06,0.06,0.05,0.06,7101.38,244712.14
9/19/2010,0.06,0.06,0.05,0.06,12917.52,242886.85
9/20/2010,0.06,0.07,0.06,0.06,14317.24,245240.21
9/21/2010,0.06,0.07,0.06,0.06,5709.85,244028.53
9/22/2010,0.06,0.07,0.06,0.06,11538.45,250885.40
9/23/2010,0.06,0.07,0.06,0.06,15540.26,247402.51
9/24/2010,0.06,0.06,0.05,0.06,684.36,248820.96
9/25/2010,0.06,0.07,0.05,0.06,2151.86,248882.10
9/26/2010,0.06,0.07,0.06,0.06,12046.65,249667.40
9/27/2010,0.06,0.08,0.06,0.06,10723.37,251319.56
9/28/2010,0.06,0.07,0.06,0.06,7092.92,253063.91
9/29/2010,0.06,0.07,0.06,0.06,23481.60,249798.91
9/30/2010,0.06,0.06,0.05,0.06,7944.90,256697.68
10/1/2010,0.06,0.07,0.06,0.06,1720.37,251174.99
10/2/2010,0.06,0.08,0.06,0.06,13073.68,249940.92
10/3/2010,0.06,0.07,0.06,0.06,7177.04,251909.20
10/4/2010,0.06,0.07,0.06,0.06,33882.93,254420.83
10/5/2010,0.06,0.06,0.06,0.06,27480.57,254578.77
10/6/2010,0.06,0.08,0.06,0.06,33430.03,262450.81
10/7/2010,0.06,0.07,0.05,0.07,43702.18,274380.74
10/8/2010,0.07,0.10,0.07,0.08,138930.13,337470.00
10/9/2010,0.08,0.13,0.08,0.10,187441.33,416434.50
10/10/2010,0.10,0.12,0.09,0.11,50485.57,479655.79
10/11/2010,0.11,0.12,0.10,0.12,14122.20,497862.04
10/12/2010,0.12,0.12,0.10,0.12,25735.40,504224.93
10/13/2010,0.12,0.12,0.09,0.10,47485.45,443013.50
10/14/2010,0.10,0.11,0.10,0.10,37309.53,428652.11
10/15/2010,0.10,0.12,0.10,0.11,24754.25,453802.41
10/16/2010,0.11,0.11,0.09,0.10,6275.99,434714.87
10/17/2010,0.10,0.13,0.10,0.11,18151.31,452814.47
10/18/2010,0.11,0.11,0.08,0.10,25647.31,436638.41
10/19/2010,0.10,0.11,0.09,0.10,6231.45,427282.67
10/20/2010,0.10,0.11,0.08,0.10,31793.80,430256.01
10/21/2010,0.10,0.12,0.09,0.10,44828.67,442410.33
10/22/2010,0.10,0.11,0.09,0.11,34549.21,476944.92
10/23/2010,0.11,0.12,0.09,0.11,4400.43,478264.36
10/24/2010,0.11,0.16,0.11,0.13,13862.21,555211.38
10/25/2010,0.13,0.18,0.12,0.15,30310.09,670766.80
10/26/2010,0.15,0.19,0.14,0.15,19246.49,678212.61
10/27/2010,0.15,0.23,0.15,0.19,65607.97,832716.67
10/28/2010,0.19,0.23,0.17,0.17,21586.19,768083.06
10/29/2010,0.17,0.23,0.17,0.19,28684.04,840263.53
10/30/2010,0.19,0.21,0.18,0.19,26586.50,858518.63
10/31/2010,0.19,0.21,0.16,0.19,40275.40,852259.61
11/1/2010,0.19,0.21,0.18,0.20,21229.97,874080.40
11/2/2010,0.20,0.24,0.18,0.19,5852.75,865018.26
11/3/2010,0.19,0.24,0.19,0.20,61555.95,882385.94
11/4/2010,0.20,0.25,0.19,0.24,29652.78,1081436.56
11/5/2010,0.24,0.27,0.23,0.25,36664.92,1110001.31
11/6/2010,0.25,0.35,0.24,0.33,32714.61,1476306.83
11/7/2010,0.33,0.38,0.30,0.34,77155.12,1535141.80
11/8/2010,0.34,0.46,0.34,0.44,118305.71,1991752.38
11/9/2010,0.44,0.44,0.21,0.22,47863.28,1016356.41
11/10/2010,0.22,0.33,0.22,0.31,30260.67,1429549.38
11/11/2010,0.31,0.32,0.21,0.23,5021.77,1062478.56
11/12/2010,0.23,0.27,0.21,0.26,40766.91,1181070.61
11/13/2010,0.26,0.30,0.24,0.27,21937.67,1240428.33
11/14/2010,0.27,0.31,0.23,0.30,16799.47,1356361.65
11/15/2010,0.30,0.32,0.27,0.29,8519.21,1326423.89
11/16/2010,0.29,0.29,0.19,0.23,34055.18,1052390.75
11/17/2010,0.23,0.28,0.22,0.27,32920.42,1252252.42
11/18/2010,0.27,0.30,0.25,0.28,37408.68,1293125.43
11/19/2010,0.28,0.32,0.26,0.29,2151.83,1331069.55
11/20/2010,0.29,0.34,0.28,0.28,14592.55,1306157.57
11/21/2010,0.28,0.30,0.25,0.28,764.85,1321494.79
11/22/2010,0.28,0.29,0.23,0.29,28316.12,1343762.24
11/23/2010,0.29,0.29,0.23,0.28,4859.68,1310418.88
11/24/2010,0.28,0.32,0.27,0.29,2526.42,1343068.29
11/25/2010,0.29,0.29,0.24,0.28,1677.21,1313652.67
11/26/2010,0.28,0.32,0.27,0.28,33719.11,1329684.06
11/27/2010,0.28,0.29,0.23,0.28,1825.74,1333876.64
11/28/2010,0.28,0.31,0.25,0.27,20857.07,1274530.59
11/29/2010,0.27,0.29,0.25,0.26,35050.89,1223202.51
11/30/2010,0.26,0.27,0.20,0.22,21429.69,1022162.17
12/1/2010,0.22,0.29,0.22,0.25,8138.11,1179000.78
12/2/2010,0.25,0.27,0.22,0.24,20401.71,1143692.44
12/3/2010,0.24,0.27,0.23,0.25,2566.25,1193229.94
12/4/2010,0.25,0.29,0.22,0.24,28628.73,1154305.01
12/5/2010,0.24,0.24,0.19,0.21,5747.29,1010650.73
12/6/2010,0.21,0.24,0.20,0.23,4305.62,1091301.15
12/7/2010,0.23,0.25,0.22,0.23,24663.86,1112579.61
12/8/2010,0.23,0.28,0.22,0.24,3430.51,1143924.17
12/9/2010,0.24,0.24,0.20,0.21,21346.27,1031681.12
12/10/2010,0.21,0.23,0.20,0.21,1680.50,1030501.20
12/11/2010,0.21,0.23,0.19,0.22,5799.12,1046025.82
12/12/2010,0.22,0.27,0.20,0.22,1960.38,1087760.22
12/13/2010,0.22,0.29,0.22,0.23,6409.84,1119643.14
12/14/2010,0.23,0.28,0.22,0.24,10447.09,1175133.52
12/15/2010,0.24,0.24,0.19,0.24,3679.50,1158732.48
12/16/2010,0.24,0.31,0.24,0.25,14336.81,1224204.17
12/17/2010,0.25,0.26,0.23,0.25,528.06,1204377.87
12/18/2010,0.25,0.26,0.22,0.24,168.62,1195890.42
12/19/2010,0.24,0.29,0.22,0.24,2005.42,1202182.79
12/20/2010,0.24,0.29,0.23,0.27,10689.66,1307645.16
12/21/2010,0.27,0.30,0.24,0.27,9250.15,1320739.62
12/22/2010,0.27,0.30,0.25,0.27,3771.71,1327907.96
12/23/2010,0.27,0.27,0.21,0.25,8641.57,1253745.53
12/24/2010,0.25,0.27,0.22,0.25,5041.31,1234451.76
12/25/2010,0.25,0.26,0.22,0.25,701.80,1242700.01
12/26/2010,0.25,0.29,0.21,0.26,16547.37,1297495.57
12/27/2010,0.26,0.30,0.23,0.27,4941.16,1343068.36
12/28/2010,0.27,0.35,0.27,0.27,15491.20,1368856.05
12/29/2010,0.27,0.36,0.27,0.30,18545.83,1476299.14
12/30/2010,0.30,0.36,0.29,0.30,2540.24,1503526.88
12/31/2010,0.30,0.33,0.26,0.30,1454.40,1505962.50
1/1/2011,0.30,0.32,0.27,0.30,2810.26,1508662.50
1/2/2011,0.30,0.37,0.29,0.30,5350.48,1511302.50
1/3/2011,0.30,0.34,0.28,0.30,1427.50,1500259.79
1/4/2011,0.30,0.31,0.25,0.30,1883.39,1512924.00
1/5/2011,0.30,0.39,0.29,0.30,356.98,1514282.20
1/6/2011,0.30,0.31,0.25,0.30,3445.08,1516596.24
1/7/2011,0.30,0.38,0.30,0.32,42513.27,1602849.27
1/8/2011,0.32,0.34,0.27,0.32,1624.77,1634668.99
1/9/2011,0.32,0.40,0.31,0.32,1684.41,1637934.82
1/10/2011,0.32,0.35,0.30,0.32,10364.23,1650920.55
1/11/2011,0.32,0.34,0.29,0.33,4846.85,1677297.89
1/12/2011,0.33,0.34,0.26,0.33,31272.29,1688199.91
1/13/2011,0.33,0.42,0.32,0.33,20116.34,1701307.08
1/14/2011,0.33,0.46,0.33,0.42,27102.64,2140605.23
1/15/2011,0.42,0.42,0.33,0.40,1517.57,2051767.11
1/16/2011,0.40,0.41,0.35,0.39,2774.79,2014363.64
1/17/2011,0.39,0.48,0.36,0.38,18268.52,1969622.25
1/18/2011,0.38,0.39,0.28,0.32,15632.46,1646541.56
1/19/2011,0.32,0.34,0.29,0.33,7285.80,1688693.72
1/20/2011,0.33,0.45,0.33,0.36,19876.22,1862589.65
1/21/2011,0.36,0.39,0.30,0.39,8472.41,2013365.43
1/22/2011,0.39,0.45,0.37,0.44,10503.75,2308031.39
1/23/2011,0.44,0.46,0.36,0.43,1148.35,2246034.10
1/24/2011,0.43,0.48,0.40,0.42,11009.21,2209767.30
1/25/2011,0.42,0.45,0.38,0.43,2171.84,2224820.36
1/26/2011,0.43,0.50,0.41,0.42,15550.91,2193609.89
1/27/2011,0.42,0.43,0.34,0.42,27827.93,2207666.77
1/28/2011,0.42,0.48,0.41,0.45,5338.32,2342297.65
1/29/2011,0.45,0.49,0.42,0.45,1448.82,2362353.72
